desc,url,geonames,wikidata
Line72: https://unlockingarchives.com/relaciones/place/santiagodequeretaro Mexico (country)| Querétaro (state)| Santiago de Querétaro 20.593002 -100.392123,https://unlockingarchives.com/relaciones/place/santiagodequeretaro,3991164,Q173121
Line73: https://unlockingarchives.com/relaciones/place/culhuacan Mexico (country)| Mexico (state)| Culhuacán 19.339773 -99.107265,https://unlockingarchives.com/relaciones/place/culhuacan,3529897,
Line76: https://unlockingarchives.com/relaciones/place/tenampulco Mexico (country)| Puebla (state)| Tenampulco 20.171199 -97.405858,https://unlockingarchives.com/relaciones/place/tenampulco,8583204,Q3887619
Line77: https://unlockingarchives.com/relaciones/place/tepecoacuilcodetrujano | Mexico (country)| Guerrero (state)| Tepecoacuilco de Trujano 18.173574 -99.434844,https://unlockingarchives.com/relaciones/place/tepecoacuilcodetrujano,8581999,Q796311
Line78: https://unlockingarchives.com/relaciones/place/santamariapeñoles Mexico (country)| Oaxaca (state)| Santa María Peñoles 17.079163 -97.002235,https://unlockingarchives.com/relaciones/place/santamariapeñoles,8582901,Q3892209
Line79: https://unlockingarchives.com/relaciones/place/tancitaro Mexico (country)| Michoacán (state)| Tancítaro 19.337665 -102.36245,https://unlockingarchives.com/relaciones/place/tancitaro,3982548,Q6138624
Line80: https://unlockingarchives.com/relaciones/place/yecapixtla Mexico (country)| Morelos (state)| Yecapixtla 18.883171 -98.866007,https://unlockingarchives.com/relaciones/place/yecapixtla,8582398,Q2732754
Line81: https://unlockingarchives.com/relaciones/place/zacatlan | Mexico (country)| Puebla (state)| Zacatlán 19.931958 -97.96025,https://unlockingarchives.com/relaciones/place/zacatlan,3514148,Q20204353
Line85: https://unlockingarchives.com/relaciones/place/santamariajaltianguis | Mexico (country)| Oaxaca (state)| Santa María Jaltianguis 17.3667 -96.5333,https://unlockingarchives.com/relaciones/place/santamariajaltianguis,8582894,Q282998
Line86: https://unlockingarchives.com/relaciones/place/teococuilcodemarcosperez Mexico (country)| Oaxaca (state)| Teococuilco de Marcos Pérez 17.353667 -96.61123,https://unlockingarchives.com/relaciones/place/teococuilcodemarcosperez,8583020,Q985841
Line87: https://unlockingarchives.com/relaciones/place/cuilapandeguerrero Mexico (country)| Oaxaca (state)| Cuilapan de Guerrero 16.993044 -96.779509,https://unlockingarchives.com/relaciones/place/cuilapandeguerrero,3529915,Q3625184
Line88: https://unlockingarchives.com/relaciones/place/santodomingohuehuetlan | Mexico (country)| Puebla (state)| Santo Domingo Huehuetlán 18.737869 -98.168138,https://unlockingarchives.com/relaciones/place/santodomingohuehuetlan,3516851,
Line90: https://unlockingarchives.com/relaciones/place/sanandressemetabaj | Guatemala (country)| Sololá (state)| San Andrés Semetabaj 14.7464 -91.132,https://unlockingarchives.com/relaciones/place/sanandressemetabaj,3590523,Q2402766
Line91: https://unlockingarchives.com/relaciones/place/oaxaca Mexico (country)| Oaxaca (state)| Oaxaca 17.060614 -96.725386,https://unlockingarchives.com/relaciones/place/oaxaca,3522509,Q34110
Line92: https://unlockingarchives.com/relaciones/place/cuautitlandegarciabarragan Mexico (country)| Jalisco (state)| Cuautitlán de García Barragán 19.452168 -104.35823,https://unlockingarchives.com/relaciones/place/cuautitlandegarciabarragan,8582127,Q3311299
Line93: https://unlockingarchives.com/relaciones/place/sanagustinoapan | Mexico (country)| Guerrero (state)| San Agustín Oapan 17.952245 -99.43815,https://unlockingarchives.com/relaciones/place/sanagustinoapan,3519975,Q20132684
Line99: https://unlockingarchives.com/relaciones/place/tehuantepec Mexico (country)| Oaxaca (state)| Tehuantepec 16.332566 -95.231997,https://unlockingarchives.com/relaciones/place/tehuantepec,3516843,Q629479
Line100: https://unlockingarchives.com/relaciones/place/sanantoniosuchitepequez Guatemala (country)| Suchitepéquez (state)| San Antonio Suchitepéquez 14.539595 -91.41645,https://unlockingarchives.com/relaciones/place/sanantoniosuchitepequez,3590411,Q1748818
Line101: https://unlockingarchives.com/relaciones/place/sanjuanatepec | Mexico (country)| Oaxaca (state)| San Juan Atepec 17.4265 -96.540,https://unlockingarchives.com/relaciones/place/sanjuanatepec,8582645,Q394927
Line102: https://unlockingarchives.com/relaciones/place/tequixquiac Mexico (country)| Mexico (state)| Tequixquiac 19.894012 -99.14027,https://unlockingarchives.com/relaciones/place/tequixquiac,8379492,Q34828
Line103: https://unlockingarchives.com/relaciones/place/sanpedroteozacoalco Mexico (country)| Oaxaca (state)| San Pedro Teozacoalco 17.016609 -97.286,https://unlockingarchives.com/relaciones/place/sanpedroteozacoalco,8582803,Q20294779
Line105: https://unlockingarchives.com/relaciones/place/teocaltiche Mexico (country)| Jalisco (state)| Teocaltiche 21.436978 -102.576205,https://unlockingarchives.com/relaciones/place/teocaltiche,8582191,Q20287259
Line106: https://unlockingarchives.com/relaciones/place/tecolutla | Mexico (country)| Veracruz (state)| Tecolutla 20.477139 -97.0084,https://unlockingarchives.com/relaciones/place/tecolutla,3516148,Q1675800
Line110: https://unlockingarchives.com/relaciones/place/misantla Mexico (country)| Veracruz (state)| Misantla 19.928022 -96.854313,https://unlockingarchives.com/relaciones/place/misantla,8583754,Q20270899
Line111: https://unlockingarchives.com/relaciones/place/jicayandetovar | Mexico (country)| Guerrero (state)| Jicayán de Tovar 17.126595 -98.23569,https://unlockingarchives.com/relaciones/place/jicayandetovar,3526517,
